"filename", "language", "CSS", "TypeScript React", "JSON", "JavaScript", "TypeScript", "HTML", "XML", "Ignore", "Markdown", "YAML", "comment", "blank", "total"
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/App.tsx", "TypeScript React", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 43, 12, 166
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Calendar/CalendarPanel.tsx", "TypeScript React", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 64
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Calendar/events.tsx", "TypeScript React", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 189
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/ChatPanel.tsx", "TypeScript React", 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 287
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/DataInterface/ChatMessage.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 18
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/DataInterface/ChatMessageInterface.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 16
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/DataInterface/ChatSessionInfoInterface.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 18
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/Messages/UserWebGetSessionInfoMessage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 14
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/Messages/UserWsChatMessage.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 17
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/Messages/WebReplyGetSessionInfoMessage.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 15
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/components/ContactDrawer.tsx", "TypeScript React", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 136
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/components/MessageBox.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 66
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/components/ProfileBadge.tsx", "TypeScript React", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 80
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Chat/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/.global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/Components/view-swticher.tsx", "TypeScript React", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 106
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/DataInterface/GanttPanelInterface.tsx", "TypeScript React", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 13
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/GanttPanel.tsx", "TypeScript React", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 215
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/GanttTest.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 8, 4, 34
